,year,state_po,state_fips,office,d_prob
79,1980,NV,32,president,0.2735666332912037
80,1980,NH,33,president,0.28350738300476575
81,1980,NJ,34,president,0.3855799204485422
82,1980,NM,35,president,0.36784828937591646
83,1980,NY,36,president,0.4399209991552669
84,1980,NC,37,president,0.47182855353903075
85,1980,ND,38,president,0.262985029025359
86,1980,OH,39,president,0.40909813537809175
87,1980,OK,40,president,0.3496766135401337
88,1980,OR,41,president,0.3866981065004621
89,1980,PA,42,president,0.4247593062020594
90,1980,RI,44,president,0.4768214786269103
91,1980,SC,45,president,0.4820896631384125
92,1980,SD,46,president,0.3169180630021696
93,1980,TN,47,president,0.4840771851910466
94,1980,TX,48,president,0.414200301389191
95,1980,UT,49,president,0.20568664839311962
96,1980,VT,50,president,0.3842118340920492
97,1980,VA,51,president,0.40308740686118993
98,1980,WA,53,president,0.3731607202504141
99,1980,WV,54,president,0.49810834807479853
100,1980,WI,55,president,0.4318031550825899
101,1980,WY,56,president,0.27970211586018007
102,1984,AL,1,president,0.38280781265064545
103,1984,AK,2,president,0.29867777751017555
104,1984,AZ,4,president,0.32542643169830887
105,1984,AR,5,president,0.38290785001458605
106,1984,CA,6,president,0.41267775699231596
107,1984,CO,8,president,0.3512289830011271
108,1984,CT,9,president,0.3882998159383734
109,1984,DE,10,president,0.3993212136448627
110,1984,DC,11,president,0.853848775131574
111,1984,FL,12,president,0.3466024696827862
112,1984,GA,13,president,0.3978530524412154
113,1984,HI,15,president,0.43815915627996166
114,1984,ID,16,president,0.2639221294728854
115,1984,IL,17,president,0.43296553206747834
116,1984,IN,18,president,0.3768271378985602
117,1984,IA,19,president,0.4588708180375131
118,1984,KS,20,president,0.32598036577621525
119,1984,KY,21,president,0.39401246581394755
120,1984,LA,22,president,0.38175392630280136
121,1984,ME,23,president,0.3878104074165136
122,1984,MD,24,president,0.4701639086016661
123,1984,MA,25,president,0.4843378267340214
124,1984,MI,26,president,0.4023607594370667
125,1984,MN,27,president,0.49718846563288427
126,1984,MS,28,president,0.3742328159268264
127,1984,MO,29,president,0.39975249332122964
128,1984,MT,30,president,0.381765818454278
129,1984,NE,31,president,0.28809826864389887
130,1984,NV,32,president,0.32419345140193195
131,1984,NH,33,president,0.30945168987719335
132,1984,NJ,34,president,0.3919754793710855
133,1984,NM,35,president,0.392264323347007
134,1984,NY,36,president,0.4409238688901262
135,1984,NC,37,president,0.37891963678672186
136,1984,ND,38,president,0.33798964951403204
137,1984,OH,39,president,0.40003199484576185
138,1984,OK,40,president,0.30667146620625063
139,1984,OR,41,president,0.43739681230009614
140,1984,PA,42,president,0.45989176666694875
141,1984,RI,44,president,0.4801736465532572
142,1984,SC,45,president,0.3556517151267541
143,1984,SD,46,president,0.365287997810405
144,1984,TN,47,president,0.4157224941924412
145,1984,TX,48,president,0.36113948292667203
146,1984,UT,49,president,0.246752194849251
147,1984,VT,50,president,0.408124112704158
148,1984,VA,51,president,0.3709293848278818
149,1984,WA,53,president,0.42580817212559535
150,1984,WV,54,president,0.44597834567008543
151,1984,WI,55,president,0.4502170060980545
152,1984,WY,56,president,0.28242877100884806
153,1988,AL,1,president,0.39863298309147205
154,1988,AK,2,president,0.362709628415519
155,1988,AZ,4,president,0.387438741228785
156,1988,AR,5,president,0.4219173216645847
157,1988,CA,6,president,0.4755944256460335
158,1988,CO,8,president,0.45282404324122666
159,1988,CT,9,president,0.4687451936200372
160,1988,DE,10,president,0.4347775630174756
161,1988,DC,11,president,0.8264697190437429
162,1988,FL,12,president,0.3850721693191546
163,1988,GA,13,president,0.394984284444916
164,1988,HI,15,president,0.5426944007944456
165,1988,ID,16,president,0.36010641419377554
166,1988,IL,17,president,0.4860455526505115
167,1988,IN,18,president,0.39686187674102574
168,1988,IA,19,president,0.5471192398259158
169,1988,KS,20,president,0.4255964488985382
170,1988,KY,21,president,0.4388359469103233
171,1988,LA,22,president,0.4406455710040892
172,1988,ME,23,president,0.4388353887592674
173,1988,MD,24,president,0.48199034274054775
174,1988,MA,25,president,0.5322905149306765
175,1988,MI,26,president,0.4567207834593339
176,1988,MN,27,president,0.5291283342633263
177,1988,MS,28,president,0.39067144591622144
178,1988,MO,29,president,0.4785044916272857
179,1988,MT,30,president,0.46198526556440983
180,1988,NE,31,president,0.39191038074576884
181,1988,NV,32,president,0.38684125397440644
182,1988,NH,33,president,0.36334498640475
183,1988,NJ,34,president,0.4259814237730408
184,1988,NM,35,president,0.4689357425482415
185,1988,NY,36,president,0.5019497561012464
186,1988,NC,37,president,0.41706311464272827
187,1988,ND,38,president,0.429720010361265
188,1988,OH,39,president,0.4414684136075665
189,1988,OK,40,president,0.41281651460757823
190,1988,OR,41,president,0.5127811239799815
191,1988,PA,42,president,0.48386740504438575
192,1988,RI,44,president,0.5563785459021012
193,1988,SC,45,president,0.37581198548897626
194,1988,SD,46,president,0.4650612956922084
195,1988,TN,47,president,0.4154585179526356
196,1988,TX,48,president,0.433493692203095
197,1988,UT,49,president,0.320464352836441
198,1988,VT,50,president,0.47579809968437664
199,1988,VA,51,president,0.3923140487194568
200,1988,WA,53,president,0.5004768790078343
201,1988,WV,54,president,0.5219811085378939
202,1988,WI,55,president,0.5141403024628491
203,1988,WY,56,president,0.3801337857049804
204,1992,AL,1,president,0.4088006350485172
205,1992,AK,2,president,0.3028711132430195
206,1992,AZ,4,president,0.3652045259671481
207,1992,AR,5,president,0.5320795284925204
208,1992,CA,6,president,0.46006587840280944
209,1992,CO,8,president,0.40128028651907366
210,1992,CT,9,president,0.42218572959541034
211,1992,DE,10,president,0.43523927905531384
212,1992,DC,11,president,0.8464090485648498
213,1992,FL,12,president,0.3899012156452978
214,1992,GA,13,president,0.4346868533599755
215,1992,HI,15,president,0.48092757790163126
216,1992,ID,16,president,0.2841921205358069
217,1992,IL,17,president,0.48579677819917283
218,1992,IN,18,president,0.3679390564346401
219,1992,IA,19,president,0.43285838623305506
220,1992,KS,20,president,0.3373849413602757
221,1992,KY,21,president,0.4455114207247639
222,1992,LA,22,president,0.4558453914124838
223,1992,ME,23,president,0.3876679730212995
224,1992,MD,24,president,0.4981260518598394
225,1992,MA,25,president,0.47541410927927824
226,1992,MI,26,president,0.43773687484399393
227,1992,MN,27,president,0.4348465127847806
228,1992,MS,28,president,0.40768064143867394
229,1992,MO,29,president,0.4407168575694087
230,1992,MT,30,president,0.3763112452293446
231,1992,NE,31,president,0.29403454157435605
232,1992,NV,32,president,0.3735754999822246
233,1992,NH,33,president,0.38911795091350765
234,1992,NJ,34,president,0.42953959123027496
235,1992,NM,35,president,0.45898846638338486
236,1992,NY,36,president,0.4727630691275797
237,1992,NC,37,president,0.42653368302161304
238,1992,ND,38,president,0.32183505174713517
239,1992,OH,39,president,0.4018128056321024
240,1992,OK,40,president,0.3402473749585539
241,1992,OR,41,president,0.42478855058958337
242,1992,PA,42,president,0.45146164873251193
243,1992,RI,44,president,0.4704796356136888
244,1992,SC,45,president,0.4276254117463252
245,1992,SD,46,president,0.37140970813730095
246,1992,TN,47,president,0.47084793088803906
247,1992,TX,48,president,0.37078458334051023
248,1992,UT,49,president,0.24654501759413333
249,1992,VT,50,president,0.46113751764750555
250,1992,VA,51,president,0.4058607440265809
251,1992,WA,53,president,0.43410220037463415
252,1992,WV,54,president,0.4841482161898089
253,1992,WI,55,president,0.4113155574098482
254,1992,WY,56,president,0.34099777871165277
255,1996,AL,1,president,0.4315608769582409
256,1996,AK,2,president,0.33267113649532326
257,1996,AZ,4,president,0.4651706594607681
258,1996,AR,5,president,0.5373644915194817
259,1996,CA,6,president,0.5109886561852729
260,1996,CO,8,president,0.44426498409348764
261,1996,CT,9,president,0.5283158147196567
262,1996,DE,10,president,0.518278497839814
263,1996,DC,11,president,0.8519001109160806
264,1996,FL,12,president,0.4802557119781926
265,1996,GA,13,president,0.4584146584952188
266,1996,HI,15,president,0.5692880151060757
267,1996,ID,16,president,0.3364638985094903
268,1996,IL,17,president,0.5431527783028726
269,1996,IN,18,president,0.41557137645749265
270,1996,IA,19,president,0.5026096469015254
271,1996,KS,20,president,0.3608479940426324
272,1996,KY,21,president,0.4584217848532593
273,1996,LA,22,president,0.5200999574541791
274,1996,ME,23,president,0.5162395588689167
275,1996,MD,24,president,0.5425477435186173
276,1996,MA,25,president,0.614720987115381
277,1996,MI,26,president,0.5169482057469723
278,1996,MN,27,president,0.5110075658200806
279,1996,MS,28,president,0.4408110022072882
280,1996,MO,29,president,0.4753957827961623
281,1996,MT,30,president,0.41250064483164367
282,1996,NE,31,president,0.34950658016134867
283,1996,NV,32,president,0.43933496884416484
284,1996,NH,33,president,0.4957057734944029
285,1996,NJ,34,president,0.5372029286118354
286,1996,NM,35,president,0.4918320223567367
287,1996,NY,36,president,0.5667893903041855
288,1996,NC,37,president,0.4403553213740164
289,1996,ND,38,president,0.4012784757386144
290,1996,OH,39,president,0.4737574744720069
291,1996,OK,40,president,0.40449137450247075
292,1996,OR,41,president,0.4715197131575891
293,1996,PA,42,president,0.492261247677619
294,1996,RI,44,president,0.5971858848370392
295,1996,SC,45,president,0.44006252923450373
296,1996,SD,46,president,0.43027119502448846
297,1996,TN,47,president,0.4799871179264085
298,1996,TX,48,president,0.43831771937065145
299,1996,UT,49,president,0.3329677643251721
300,1996,VT,50,president,0.5335443356329489
301,1996,VA,51,president,0.45147771163457395
302,1996,WA,53,president,0.49840472048333573
303,1996,WV,54,president,0.515055958042859
304,1996,WI,55,president,0.48810952162606797
305,1996,WY,56,president,0.3683586124752447
306,2000,AL,1,president,0.4156650294789806
307,2000,AK,2,president,0.27666339823504693
308,2000,AZ,4,president,0.4473458501738885
309,2000,AR,5,president,0.4586425626043496
310,2000,CA,6,president,0.5344973682775446
311,2000,CO,8,president,0.4239350901130605
312,2000,CT,9,president,0.5590962813244035
313,2000,DE,10,president,0.5497772716309091
314,2000,DC,11,president,0.8515508137933767
315,2000,FL,12,president,0.48837821204036147
316,2000,GA,13,president,0.4321099965624139
317,2000,HI,15,president,0.5579166791230354
318,2000,ID,16,president,0.27638128843834414
319,2000,IL,17,president,0.545965212095549
320,2000,IN,18,president,0.4101210293083897
321,2000,IA,19,president,0.4719191557860848
322,2000,KS,20,president,0.3723839226424526
323,2000,KY,21,president,0.4137818258591055
324,2000,LA,22,president,0.44875332454339917
325,2000,ME,23,president,0.4908601647394898
326,2000,MD,24,president,0.5648830838450493
327,2000,MA,25,president,0.5912612602067913
328,2000,MI,26,president,0.5127979887069135
329,2000,MN,27,president,0.479055720603522
330,2000,MS,28,president,0.40698100150475164
331,2000,MO,29,president,0.47084273348102373
332,2000,MT,30,president,0.3336512679264014
333,2000,NE,31,president,0.33253039013283714
334,2000,NV,32,president,0.4594126276200884
335,2000,NH,33,president,0.46803179160787306
336,2000,NJ,34,president,0.5612560891508792
337,2000,NM,35,president,0.47908554054844177
338,2000,NY,36,president,0.566392704823055
339,2000,NC,37,president,0.43145671168683253
340,2000,ND,38,president,0.3305533969804618
341,2000,OH,39,president,0.46440428090356484
342,2000,OK,40,president,0.38426904569573395
343,2000,OR,41,president,0.46959940024120733
344,2000,PA,42,president,0.5060817131276611
345,2000,RI,44,president,0.6098770018967911
346,2000,SC,45,president,0.40901523373764903
347,2000,SD,46,president,0.37564225390411327
348,2000,TN,47,president,0.4728489471775341
349,2000,TX,48,president,0.37981958091571044
350,2000,UT,49,president,0.26344722181136915
351,2000,VT,50,president,0.5063470921619528
352,2000,VA,51,president,0.4443561054475593
353,2000,WA,53,president,0.5015821531675426
354,2000,WV,54,president,0.4559266436669526
355,2000,WI,55,president,0.47832819660687437
356,2000,WY,56,president,0.282983820405566
357,2004,AL,1,president,0.36844402322377173
358,2004,AK,2,president,0.35516861912104364
359,2004,AZ,4,president,0.44396832928795554
360,2004,AR,5,president,0.44547630445189085
361,2004,CA,6,president,0.5430555753467436
362,2004,CO,8,president,0.47037842254288303
363,2004,CT,9,president,0.543137089719902
364,2004,DE,10,president,0.5334683760228152
365,2004,DC,11,president,0.8918386895503239
366,2004,FL,12,president,0.4709111002771423
367,2004,GA,13,president,0.41374946053378764
368,2004,HI,15,president,0.5400955215809311
369,2004,ID,16,president,0.3026491704212736
370,2004,IL,17,president,0.5482316020902781
371,2004,IN,18,president,0.39262974665336575
372,2004,IA,19,president,0.4923313168421695
373,2004,KS,20,president,0.3662309430556444
374,2004,KY,21,president,0.39687072981409693
375,2004,LA,22,president,0.4221586470321228
376,2004,ME,23,president,0.5357285569259347
377,2004,MD,24,president,0.5597146761355201
378,2004,MA,25,president,0.616166602048537
379,2004,MI,26,president,0.5123070672905647
380,2004,MN,27,president,0.5108968468600654
381,2004,MS,28,president,0.40161112592821346
382,2004,MO,29,president,0.46100446516831883
383,2004,MT,30,president,0.3856502839483698
384,2004,NE,31,president,0.3268216082016382
385,2004,NV,32,president,0.4787804051895702
386,2004,NH,33,president,0.5020161082255741
387,2004,NJ,34,president,0.5292340900702746
388,2004,NM,35,president,0.490466796420487
389,2004,NY,36,president,0.5613058126549186
390,2004,NC,37,president,0.435831462205017
391,2004,ND,38,president,0.3549881246543683
392,2004,OH,39,president,0.48706685243153625
393,2004,OK,40,president,0.3442959833524394
394,2004,OR,41,president,0.5134866304221187
395,2004,PA,42,president,0.5092380914415062
396,2004,RI,44,president,0.5942342622628302
397,2004,SC,45,president,0.40901835939914694
398,2004,SD,46,president,0.38443645917854796
399,2004,TN,47,president,0.4252529110879618
400,2004,TX,48,president,0.3822426046274135
401,2004,UT,49,president,0.25995641508701894
402,2004,VT,50,president,0.5893746257712714
403,2004,VA,51,president,0.4552591760381672
404,2004,WA,53,president,0.5282114831183694
405,2004,WV,54,president,0.43205141097021404
406,2004,WI,55,president,0.49699717084411216
407,2004,WY,56,president,0.2902309102316484
408,2008,AL,1,president,0.38740434294574916
409,2008,AK,2,president,0.37889373599389325
410,2008,AZ,4,president,0.4511525087476428
411,2008,AR,5,president,0.3886465976512423
412,2008,CA,6,president,0.6101263834713425
413,2008,CO,8,president,0.5366023684069159
414,2008,CT,9,president,0.6058882967612181
415,2008,DE,10,president,0.6194266898150393
416,2008,DC,11,president,0.9245710975614343
417,2008,FL,12,president,0.5103330527066491
418,2008,GA,13,president,0.46990179096065066
419,2008,HI,15,president,0.7145291011787819
420,2008,ID,16,president,0.3609098763283785
421,2008,IL,17,president,0.6191811452001323
422,2008,IN,18,president,0.4994591163968428
423,2008,IA,19,president,0.5392802007386527
424,2008,KS,20,president,0.41651967194013617
425,2008,KY,21,president,0.4116811378392879
426,2008,LA,22,president,0.3993291380234511
427,2008,ME,23,president,0.5770573729797597
428,2008,MD,24,president,0.6191934476264593
429,2008,MA,25,president,0.6136319910280229
430,2008,MI,26,president,0.5743324730745946
431,2008,MN,27,president,0.5406029269827984
432,2008,MS,28,president,0.43001554426238403
433,2008,MO,29,president,0.49292647865705136
434,2008,MT,30,president,0.4726846477008176
435,2008,NE,31,president,0.415982657769247
436,2008,NV,32,president,0.551466759243187
437,2008,NH,33,president,0.5412689705613458
438,2008,NJ,34,president,0.5727213715188599
439,2008,NM,35,president,0.5690748026279335
440,2008,NY,36,president,0.6015696154075767
441,2008,NC,37,president,0.49703666399047425
442,2008,ND,38,president,0.44620540014717913
443,2008,OH,39,president,0.5150427006052537
444,2008,OK,40,president,0.343549188773065
445,2008,OR,41,president,0.5674880625692065
446,2008,PA,42,president,0.5448552801203738
447,2008,RI,44,president,0.6286400461245617
448,2008,SC,45,president,0.4489656001736624
449,2008,SD,46,president,0.44747431114601743
450,2008,TN,47,president,0.4182853806271298
451,2008,TX,48,president,0.4368312144588963
452,2008,UT,49,president,0.3440574566607516
453,2008,VT,50,president,0.6745568319560924
454,2008,VA,51,president,0.5262946987317566
455,2008,WA,53,president,0.5765289221364835
456,2008,WV,54,president,0.42589750382296754
457,2008,WI,55,president,0.5621778651794235
458,2008,WY,56,president,0.32509493770203685
459,2012,AL,1,president,0.3835903309875247
460,2012,AK,2,president,0.40812659112464433
461,2012,AZ,4,president,0.44589766941799386
462,2012,AR,5,president,0.36878990301720105
463,2012,CA,6,president,0.6023895914168964
464,2012,CO,8,president,0.5149222655161517
465,2012,CT,9,president,0.5808501325885442
466,2012,DE,10,president,0.5861074198458528
467,2012,DC,11,president,0.9091311392818725
468,2012,FL,12,president,0.5000786506869869
469,2012,GA,13,president,0.45507959666882086
470,2012,HI,15,president,0.7014793244563191
471,2012,ID,16,president,0.3262233355920978
472,2012,IL,17,president,0.5760213536247709
473,2012,IN,18,president,0.43927302904058396
474,2012,IA,19,president,0.5198801653414908
475,2012,KS,20,president,0.3799457055391902
476,2012,KY,21,president,0.37801327834445797
477,2012,LA,22,president,0.4057746362330215
478,2012,ME,23,president,0.5537103419348252
479,2012,MD,24,president,0.6197419077931849
480,2012,MA,25,president,0.6033830832021647
481,2012,MI,26,president,0.5420820421051875
482,2012,MN,27,president,0.5265230315324626
483,2012,MS,28,president,0.4378935954398935
484,2012,MO,29,president,0.4438348354545333
485,2012,MT,30,president,0.41698137374805805
486,2012,NE,31,president,0.38027314417928976
487,2012,NV,32,president,0.5235624947040056
488,2012,NH,33,president,0.5197968415071198
489,2012,NJ,34,president,0.5834235491063761
490,2012,NM,35,president,0.5299276052046678
491,2012,NY,36,president,0.6076098417487449
492,2012,NC,37,president,0.48350968577067555
493,2012,ND,38,president,0.38697310888979725
494,2012,OH,39,president,0.5066674765831987
495,2012,OK,40,president,0.3322768025698344
496,2012,OR,41,president,0.54239326652769
497,2012,PA,42,president,0.520768577021407
498,2012,RI,44,president,0.627009588632639
499,2012,SC,45,president,0.4408803340736147
500,2012,SD,46,president,0.3986614075835246
501,2012,TN,47,president,0.39075814993795194
502,2012,TX,48,president,0.41383358283760857
503,2012,UT,49,president,0.2474966582796037
504,2012,VT,50,president,0.665705503023823
505,2012,VA,51,president,0.5115645679621864
506,2012,WA,53,president,0.5616339829967276
507,2012,WV,54,president,0.3553930415638732
508,2012,WI,55,president,0.5277616253515459
509,2012,WY,56,president,0.2763690611525283
510,2016,AL,1,president,0.3435794575797364
511,2016,AK,2,president,0.36550871290111986
512,2016,AZ,4,president,0.4512602184469321
513,2016,AR,5,president,0.33653124129360934
514,2016,CA,6,president,0.6172639960455788
515,2016,CO,8,president,0.48156980382847403
516,2016,CT,9,president,0.5456630109670987
517,2016,DE,10,president,0.5335333680563419
518,2016,DC,11,president,0.9048388386787171
519,2016,FL,12,president,0.4782331580580505
520,2016,GA,13,president,0.4563998335736082
521,2016,HI,15,president,0.6098079805512905
522,2016,ID,16,president,0.27492013820979205
523,2016,IL,17,president,0.558253666987933
524,2016,IN,18,president,0.37774839686752043
525,2016,IA,19,president,0.41752513445496237
526,2016,KS,20,president,0.36052370732234496
527,2016,KY,21,president,0.3268218833364776
528,2016,LA,22,president,0.3844956609851397
529,2016,ME,23,president,0.4634521409730895
530,2016,MD,24,president,0.6032574423519277
531,2016,MA,25,president,0.5905006509667129
532,2016,MI,26,president,0.4727453095086684
533,2016,MN,27,president,0.4644503396176695
534,2016,MS,28,president,0.40114788271784096
535,2016,MO,29,president,0.3813523083523671
536,2016,MT,30,president,0.35935218775150346
537,2016,NE,31,president,0.33698756377135536
538,2016,NV,32,president,0.4791782367811904
539,2016,NH,33,president,0.46826262669690555
540,2016,NJ,34,president,0.554530844496942
541,2016,NM,35,president,0.48255647178634103
542,2016,NY,36,president,0.5613614259984896
543,2016,NC,37,president,0.46172866168209475
544,2016,ND,38,president,0.27226739458706006
545,2016,OH,39,president,0.4355807627672002
546,2016,OK,40,president,0.2893168028454389
547,2016,OR,41,president,0.5007185200286208
548,2016,PA,42,president,0.4785361616456285
549,2016,RI,44,president,0.5440660657037472
550,2016,SC,45,president,0.4067341978966509
551,2016,SD,46,president,0.3173742815994899
552,2016,TN,47,president,0.34716332798650096
553,2016,TX,48,president,0.4323525798101196
554,2016,UT,49,president,0.2746126859226901
555,2016,VT,50,president,0.5572274212321393
556,2016,VA,51,president,0.49751352833417695
557,2016,WA,53,president,0.5253868006182659
558,2016,WV,54,president,0.26476928017771517
559,2016,WI,55,president,0.4645384137224266
560,2016,WY,56,president,0.2162890087639303
