state_po,year,unemployment_rate
OK,2007,4.075
OK,2008,3.766666666666667
OK,2009,6.383333333333333
OK,2010,6.775000000000001
OK,2011,5.874999999999999
OK,2012,5.266666666666667
OK,2013,5.283333333333333
OK,2014,4.508333333333334
OK,2015,4.4
OK,2016,4.8
OK,2017,4.216666666666667
OK,2018,3.4416666666666664
OK,2019,3.2916666666666665
OK,2020,6.800000000000002
OR,1976,9.308333333333332
OR,1977,7.433333333333334
OR,1978,6.075
OR,1979,6.683333333333335
OR,1980,8.483333333333334
OR,1981,9.758333333333333
OR,1982,11.558333333333332
OR,1983,10.791666666666664
OR,1984,9.416666666666666
OR,1985,8.858333333333334
OR,1986,8.041666666666666
OR,1987,6.241666666666667
OR,1988,5.775
OR,1989,5.416666666666665
OR,1990,5.5
OR,1991,6.391666666666667
OR,1992,7.374999999999999
OR,1993,7.058333333333334
OR,1994,5.441666666666666
OR,1995,4.9
OR,1996,5.7
OR,1997,5.666666666666668
OR,1998,5.7333333333333325
OR,1999,5.508333333333333
OR,2000,5.108333333333333
OR,2001,6.425
OR,2002,7.508333333333333
OR,2003,8.141666666666666
OR,2004,7.283333333333334
OR,2005,6.183333333333335
OR,2006,5.333333333333333
OR,2007,5.166666666666666
OR,2008,6.566666666666666
OR,2009,11.258333333333333
OR,2010,10.608333333333334
OR,2011,9.5
OR,2012,8.825
OR,2013,7.874999999999999
OR,2014,6.7666666666666675
OR,2015,5.583333333333332
OR,2016,4.816666666666666
OR,2017,4.108333333333333
OR,2018,4.05
OR,2019,3.766666666666666
OR,2020,8.644444444444442
PA,1976,7.975
PA,1977,7.666666666666668
PA,1978,6.924999999999998
PA,1979,6.8666666666666645
PA,1980,8.041666666666666
PA,1981,8.383333333333333
PA,1982,11.141666666666667
PA,1983,11.516666666666666
PA,1984,9.083333333333334
PA,1985,8.008333333333333
PA,1986,6.8916666666666675
PA,1987,5.666666666666668
PA,1988,5.05
PA,1989,4.691666666666666
PA,1990,5.466666666666666
PA,1991,7.058333333333334
PA,1992,7.591666666666669
PA,1993,7.0
PA,1994,6.25
PA,1995,5.8583333333333325
PA,1996,5.441666666666667
PA,1997,5.116666666666666
PA,1998,4.608333333333333
PA,1999,4.4
PA,2000,4.125000000000001
PA,2001,4.8
PA,2002,5.608333333333333
PA,2003,5.666666666666668
PA,2004,5.425
PA,2005,4.966666666666666
PA,2006,4.591666666666667
PA,2007,4.391666666666667
PA,2008,5.316666666666666
PA,2009,8.049999999999999
PA,2010,8.433333333333334
PA,2011,7.925000000000002
PA,2012,7.825000000000002
PA,2013,7.341666666666666
PA,2014,5.875000000000001
PA,2015,5.283333333333334
PA,2016,5.375
PA,2017,4.858333333333333
PA,2018,4.258333333333334
PA,2019,4.3500000000000005
PA,2020,9.877777777777778
RI,1976,8.208333333333334
RI,1977,8.025
RI,1978,6.566666666666666
RI,1979,6.3916666666666675
RI,1980,7.216666666666666
RI,1981,7.775000000000001
RI,1982,9.7
RI,1983,8.316666666666666
RI,1984,5.508333333333333
RI,1985,4.633333333333334
RI,1986,4.066666666666666
RI,1987,3.6333333333333333
RI,1988,3.108333333333333
RI,1989,4.116666666666666
RI,1990,6.374999999999999
RI,1991,8.566666666666668
RI,1992,8.883333333333336
RI,1993,7.766666666666667
RI,1994,6.916666666666665
RI,1995,6.316666666666666
RI,1996,5.449999999999998
RI,1997,5.141666666666667
RI,1998,4.608333333333333
RI,1999,4.141666666666668
RI,2000,4.075000000000001
RI,2001,4.558333333333334
RI,2002,4.983333333333333
RI,2003,5.333333333333331
RI,2004,5.158333333333333
RI,2005,5.041666666666667
RI,2006,4.9416666666666655
RI,2007,5.191666666666666
RI,2008,7.808333333333334
RI,2009,10.975
RI,2010,11.199999999999998
RI,2011,11.025
RI,2012,10.391666666666667
RI,2013,9.266666666666666
RI,2014,7.6916666666666655
RI,2015,6.0
RI,2016,5.191666666666666
RI,2017,4.416666666666666
RI,2018,3.9666666666666655
RI,2019,3.5750000000000006
RI,2020,10.366666666666667
SC,1976,7.175
SC,1977,6.841666666666668
SC,1978,5.741666666666666
SC,1979,5.016666666666667
SC,1980,6.7666666666666675
SC,1981,8.091666666666667
SC,1982,11.116666666666667
SC,1983,9.85
SC,1984,6.916666666666665
SC,1985,6.925
SC,1986,6.441666666666666
SC,1987,5.5166666666666675
SC,1988,4.675
SC,1989,4.6
SC,1990,4.833333333333333
SC,1991,6.1416666666666675
SC,1992,6.750000000000001
SC,1993,7.291666666666665
SC,1994,6.208333333333332
SC,1995,5.191666666666666
SC,1996,5.791666666666668
SC,1997,4.591666666666666
SC,1998,3.775
SC,1999,4.258333333333333
SC,2000,3.8
SC,2001,5.208333333333333
SC,2002,5.858333333333333
SC,2003,6.900000000000001
SC,2004,6.8249999999999975
SC,2005,6.716666666666668
SC,2006,6.458333333333332
SC,2007,5.650000000000001
SC,2008,6.8500000000000005
SC,2009,11.233333333333333
SC,2010,11.133333333333335
SC,2011,10.541666666666668
SC,2012,9.2
SC,2013,7.616666666666666
SC,2014,6.458333333333332
SC,2015,5.974999999999999
SC,2016,5.025
SC,2017,4.275000000000001
SC,2018,3.4583333333333326
SC,2019,2.858333333333333
SC,2020,6.911111111111111
SD,1976,3.216666666666667
SD,1977,3.2916666666666665
SD,1978,3.1
SD,1979,3.35
SD,1980,4.791666666666667
SD,1981,4.949999999999998
SD,1982,5.4750000000000005
SD,1983,5.2
SD,1984,4.391666666666667
SD,1985,4.824999999999998
SD,1986,4.583333333333333
SD,1987,4.208333333333334
SD,1988,4.066666666666666
SD,1989,4.008333333333334
SD,1990,3.7833333333333337
SD,1991,3.4916666666666667
SD,1992,3.3166666666666664
SD,1993,3.3416666666666663
SD,1994,3.2750000000000004
SD,1995,3.0416666666666674
SD,1996,3.1500000000000004
SD,1997,2.9416666666666664
SD,1998,2.7916666666666665
SD,1999,2.725
SD,2000,2.458333333333333
SD,2001,3.091666666666667
SD,2002,3.191666666666667
SD,2003,3.5333333333333337
SD,2004,3.7166666666666655
SD,2005,3.8
SD,2006,3.1166666666666667
SD,2007,2.8250000000000006
SD,2008,3.1
SD,2009,4.925
SD,2010,4.974999999999999
SD,2011,4.7250000000000005
SD,2012,4.266666666666667
SD,2013,3.7833333333333337
SD,2014,3.4083333333333328
SD,2015,3.1
SD,2016,2.983333333333334
SD,2017,3.208333333333334
SD,2018,3.075
SD,2019,3.283333333333333
SD,2020,5.844444444444445
TN,1976,6.050000000000002
TN,1977,6.233333333333333
TN,1978,5.825
TN,1979,5.8583333333333325
TN,1980,7.458333333333332
TN,1981,8.933333333333334
TN,1982,11.716666666666667
TN,1983,11.550000000000002
TN,1984,8.566666666666668
TN,1985,7.933333333333334
TN,1986,7.891666666666667
TN,1987,6.608333333333333
TN,1988,5.8166666666666655
TN,1989,5.075
TN,1990,5.383333333333334
TN,1991,6.783333333333331
TN,1992,6.491666666666667
TN,1993,5.824999999999998
TN,1994,4.833333333333334
TN,1995,5.166666666666667
TN,1996,5.141666666666667
TN,1997,5.266666666666667
TN,1998,4.3
TN,1999,3.958333333333332
TN,2000,3.8666666666666663
TN,2001,4.575
TN,2002,5.174999999999999
TN,2003,5.625
TN,2004,5.358333333333333
TN,2005,5.558333333333333
TN,2006,5.225
TN,2007,4.666666666666667
TN,2008,6.625
TN,2009,10.458333333333332
TN,2010,9.633333333333336
TN,2011,8.966666666666663
TN,2012,7.824999999999998
TN,2013,7.7333333333333325
TN,2014,6.600000000000001
TN,2015,5.6000000000000005
TN,2016,4.7333333333333325
TN,2017,3.766666666666667
TN,2018,3.525
TN,2019,3.3916666666666657
TN,2020,7.855555555555553
TX,1976,5.783333333333334
TX,1977,5.325000000000002
TX,1978,4.775000000000001
TX,1979,4.3583333333333325
TX,1980,5.141666666666667
TX,1981,5.3
