state_po,year,bachelors_education_rate
TX,2007,0.252
TX,2008,0.253
TX,2009,0.255
TX,2010,0.259
TX,2011,0.264
TX,2012,0.267
TX,2013,0.275
TX,2014,0.278
TX,2015,0.284
TX,2016,0.289
TX,2017,0.29600000000000004
TX,2018,0.303
TX,2019,0.308
UT,2006,0.28600000000000003
UT,2007,0.287
UT,2008,0.29100000000000004
UT,2009,0.285
UT,2010,0.293
UT,2011,0.297
UT,2012,0.307
UT,2013,0.313
UT,2014,0.311
UT,2015,0.318
UT,2016,0.326
UT,2017,0.34600000000000003
UT,2018,0.349
UT,2019,0.348
VT,2006,0.324
VT,2007,0.336
VT,2008,0.321
VT,2009,0.331
VT,2010,0.336
VT,2011,0.354
VT,2012,0.358
VT,2013,0.35700000000000004
VT,2014,0.349
VT,2015,0.369
VT,2016,0.364
VT,2017,0.383
VT,2018,0.387
VT,2019,0.387
VA,2006,0.327
VA,2007,0.336
VA,2008,0.337
VA,2009,0.34
VA,2010,0.342
VA,2011,0.35100000000000003
VA,2012,0.355
VA,2013,0.361
VA,2014,0.3670000000000001
VA,2015,0.37
VA,2016,0.381
VA,2017,0.387
VA,2018,0.393
VA,2019,0.396
WA,2006,0.305
WA,2007,0.303
WA,2008,0.307
WA,2009,0.31
WA,2010,0.311
WA,2011,0.319
WA,2012,0.317
WA,2013,0.327
WA,2014,0.331
WA,2015,0.342
WA,2016,0.35100000000000003
WA,2017,0.355
WA,2018,0.3670000000000001
WA,2019,0.37
WV,2006,0.165
WV,2007,0.173
WV,2008,0.171
WV,2009,0.173
WV,2010,0.175
WV,2011,0.185
WV,2012,0.18600000000000005
WV,2013,0.189
WV,2014,0.192
WV,2015,0.196
WV,2016,0.208
WV,2017,0.202
WV,2018,0.213
WV,2019,0.211
WI,2006,0.251
WI,2007,0.254
WI,2008,0.257
WI,2009,0.257
WI,2010,0.263
WI,2011,0.265
WI,2012,0.271
WI,2013,0.277
WI,2014,0.284
WI,2015,0.284
WI,2016,0.295
WI,2017,0.304
WI,2018,0.3
WI,2019,0.313
WY,2006,0.227
WY,2007,0.234
WY,2008,0.236
WY,2009,0.238
WY,2010,0.241
WY,2011,0.247
WY,2012,0.247
WY,2013,0.266
WY,2014,0.266
WY,2015,0.262
WY,2016,0.271
WY,2017,0.276
WY,2018,0.269
WY,2019,0.29100000000000004
