year,state_po,state_fips,office,d_prob
1984,MA,25,senate,0.5505496802769129
1984,MI,26,senate,0.5176609281214655
1984,MN,27,senate,0.4127710424689869
1984,MS,28,senate,0.39058010585566666
1984,MT,30,senate,0.5689071751658292
1984,NE,31,senate,0.5193584797113503
1984,NH,33,senate,0.4096246055222976
1984,NJ,34,senate,0.6415863813340154
1984,NM,35,senate,0.2810255573638075
1984,NC,37,senate,0.4780989803269332
1984,OK,40,senate,0.7564095607698902
1984,OR,41,senate,0.3343297097720902
1984,RI,44,senate,0.7265962639441117
1984,SC,45,senate,0.31807321293504504
1984,SD,46,senate,0.2550956089866429
1984,TN,47,senate,0.6071511787363868
1984,TX,48,senate,0.4144680513148035
1984,VA,51,senate,0.29945000889171386
1984,WV,54,senate,0.5181761034156176
1984,WY,56,senate,0.21682950058320585
