state_po,year,leading_index
CO,1983,2.9858333333333333
CO,1984,2.2358333333333333
CO,1985,0.9408333333333332
CO,1986,0.43083333333333335
CO,1987,2.0475
CO,1988,1.9458333333333333
CO,1989,1.9458333333333329
CO,1990,1.795
CO,1991,1.3558333333333332
CO,1992,2.109166666666667
CO,1993,2.7625
CO,1994,2.7358333333333333
CO,1995,1.7266666666666668
CO,1996,2.015
CO,1997,2.2741666666666664
CO,1998,1.9158333333333333
CO,1999,2.0975
CO,2000,1.9366666666666668
CO,2001,-0.3858333333333333
CO,2002,1.0133333333333334
CO,2003,1.155
CO,2004,1.8708333333333331
CO,2005,1.8066666666666669
CO,2006,1.8016666666666667
CO,2007,1.4141666666666666
CO,2008,0.13833333333333342
CO,2009,-0.5558333333333333
CO,2010,1.1941666666666666
