year,state_po,state_fips,office,d_prob
1980,IA,19,president,0.3860416298273987
1980,KS,20,president,0.3328757546221404
1980,KY,21,president,0.4765391582608266
1980,LA,22,president,0.4574823177972751
1980,ME,23,president,0.4225035419905127
1980,MD,24,president,0.4713812953749961
1980,MA,25,president,0.4174977912831952
1980,MI,26,president,0.4249741350094956
1980,MN,27,president,0.4650156244212726
1980,MS,28,president,0.4813916456405943
1980,MO,29,president,0.4434571659339068
1980,MT,30,president,0.32430650195630195
1980,NE,31,president,0.2602273846697512
1980,NV,32,president,0.2735666332912037
1980,NH,33,president,0.2835073830047657
1980,NJ,34,president,0.3855799204485422
1980,NM,35,president,0.3678482893759165
1980,NY,36,president,0.4399209991552669
1980,NC,37,president,0.4718285535390308
1980,ND,38,president,0.262985029025359
1980,OH,39,president,0.40909813537809175
1980,OK,40,president,0.3496766135401337
1980,OR,41,president,0.3866981065004621
1980,PA,42,president,0.4247593062020594
1980,RI,44,president,0.4768214786269103
1980,SC,45,president,0.4820896631384125
1980,SD,46,president,0.3169180630021696
1980,TN,47,president,0.4840771851910466
1980,TX,48,president,0.41420030138919106
1980,UT,49,president,0.2056866483931196
1980,VT,50,president,0.3842118340920492
1980,VA,51,president,0.4030874068611899
1980,WA,53,president,0.3731607202504141
1980,WV,54,president,0.4981083480747985
1980,WI,55,president,0.4318031550825899
1980,WY,56,president,0.2797021158601801
1984,AL,1,president,0.3828078126506455
1984,AK,2,president,0.29867777751017555
1984,AZ,4,president,0.3254264316983089
1984,AR,5,president,0.3829078500145861
1984,CA,6,president,0.412677756992316
1984,CO,8,president,0.3512289830011271
1984,CT,9,president,0.3882998159383734
1984,DE,10,president,0.3993212136448627
1984,DC,11,president,0.8538487751315741
1984,FL,12,president,0.3466024696827862
1984,GA,13,president,0.3978530524412154
1984,HI,15,president,0.4381591562799617
1984,ID,16,president,0.2639221294728854
1984,IL,17,president,0.4329655320674784
1984,IN,18,president,0.3768271378985602
1984,IA,19,president,0.4588708180375131
1984,KS,20,president,0.32598036577621525
1984,KY,21,president,0.3940124658139476
1984,LA,22,president,0.38175392630280136
1984,ME,23,president,0.3878104074165136
1984,MD,24,president,0.4701639086016661
1984,MA,25,president,0.4843378267340214
1984,MI,26,president,0.4023607594370667
1984,MN,27,president,0.4971884656328842
1984,MS,28,president,0.3742328159268264
1984,MO,29,president,0.3997524933212296
1984,MT,30,president,0.381765818454278
1984,NE,31,president,0.2880982686438989
1984,NV,32,president,0.32419345140193195
1984,NH,33,president,0.3094516898771933
1984,NJ,34,president,0.3919754793710855
1984,NM,35,president,0.39226432334700706
1984,NY,36,president,0.4409238688901262
1984,NC,37,president,0.37891963678672186
1984,ND,38,president,0.33798964951403204
1984,OH,39,president,0.40003199484576185
1984,OK,40,president,0.30667146620625063
1984,OR,41,president,0.43739681230009614
1984,PA,42,president,0.4598917666669488
1984,RI,44,president,0.4801736465532572
1984,SC,45,president,0.3556517151267541
1984,SD,46,president,0.36528799781040505
1984,TN,47,president,0.4157224941924412
1984,TX,48,president,0.361139482926672
1984,UT,49,president,0.246752194849251
1984,VT,50,president,0.408124112704158
1984,VA,51,president,0.3709293848278818
1984,WA,53,president,0.42580817212559535
1984,WV,54,president,0.44597834567008543
1984,WI,55,president,0.4502170060980545
1984,WY,56,president,0.2824287710088481
1988,AL,1,president,0.3986329830914721
1988,AK,2,president,0.362709628415519
1988,AZ,4,president,0.38743874122878497
1988,AR,5,president,0.4219173216645847
1988,CA,6,president,0.4755944256460335
1988,CO,8,president,0.4528240432412266
1988,CT,9,president,0.4687451936200372
1988,DE,10,president,0.4347775630174756
1988,DC,11,president,0.8264697190437429
1988,FL,12,president,0.3850721693191546
1988,GA,13,president,0.394984284444916
1988,HI,15,president,0.5426944007944456
1988,ID,16,president,0.36010641419377554
1988,IL,17,president,0.4860455526505115
1988,IN,18,president,0.39686187674102574
