state_po,year,graduate_education_rate
PA,2017,0.125
PA,2018,0.127
PA,2019,0.128
RI,2006,0.113
RI,2007,0.118
RI,2008,0.113
RI,2009,0.117
RI,2010,0.122
RI,2011,0.123
RI,2012,0.128
RI,2013,0.126
RI,2014,0.123
RI,2015,0.134
RI,2016,0.135
RI,2017,0.131
RI,2018,0.145
RI,2019,0.139
SC,2006,0.079
SC,2007,0.08199999999999999
SC,2008,0.085
SC,2009,0.084
SC,2010,0.08800000000000001
SC,2011,0.084
SC,2012,0.091
SC,2013,0.095
SC,2014,0.096
SC,2015,0.095
SC,2016,0.098
SC,2017,0.104
SC,2018,0.104
SC,2019,0.112
SD,2006,0.07200000000000001
SD,2007,0.07
SD,2008,0.073
SD,2009,0.073
SD,2010,0.077
SD,2011,0.081
SD,2012,0.081
SD,2013,0.076
SD,2014,0.078
SD,2015,0.079
SD,2016,0.092
SD,2017,0.09
SD,2018,0.09
SD,2019,0.091
TN,2006,0.075
TN,2007,0.076
TN,2008,0.08
TN,2009,0.079
TN,2010,0.085
TN,2011,0.083
TN,2012,0.086
TN,2013,0.092
TN,2014,0.091
TN,2015,0.096
TN,2016,0.094
TN,2017,0.101
TN,2018,0.102
TN,2019,0.107
TX,2006,0.08
TX,2007,0.08199999999999999
TX,2008,0.083
TX,2009,0.085
TX,2010,0.086
TX,2011,0.087
TX,2012,0.09
TX,2013,0.093
TX,2014,0.096
TX,2015,0.097
TX,2016,0.1
TX,2017,0.103
TX,2018,0.107
TX,2019,0.108
UT,2006,0.094
UT,2007,0.091
UT,2008,0.094
UT,2009,0.091
UT,2010,0.094
UT,2011,0.097
UT,2012,0.104
UT,2013,0.105
UT,2014,0.103
UT,2015,0.107
UT,2016,0.112
UT,2017,0.118
UT,2018,0.12
UT,2019,0.113
VT,2006,0.128
VT,2007,0.129
VT,2008,0.122
VT,2009,0.133
VT,2010,0.133
VT,2011,0.14
VT,2012,0.139
VT,2013,0.14300000000000002
VT,2014,0.14
VT,2015,0.146
VT,2016,0.152
VT,2017,0.158
VT,2018,0.156
VT,2019,0.16
VA,2006,0.132
VA,2007,0.13699999999999998
VA,2008,0.138
VA,2009,0.141
VA,2010,0.142
VA,2011,0.146
VA,2012,0.149
VA,2013,0.151
VA,2014,0.159
VA,2015,0.157
VA,2016,0.16399999999999998
VA,2017,0.16699999999999998
VA,2018,0.171
VA,2019,0.172
WA,2006,0.107
WA,2007,0.108
WA,2008,0.109
WA,2009,0.111
WA,2010,0.111
WA,2011,0.117
WA,2012,0.113
WA,2013,0.118
WA,2014,0.121
WA,2015,0.125
WA,2016,0.132
WA,2017,0.133
WA,2018,0.139
WA,2019,0.142
WV,2006,0.066
WV,2007,0.066
WV,2008,0.067
WV,2009,0.067
WV,2010,0.066
WV,2011,0.068
WV,2012,0.073
WV,2013,0.076
WV,2014,0.07400000000000001
WV,2015,0.079
WV,2016,0.08199999999999999
WV,2017,0.08
WV,2018,0.085
WV,2019,0.084
WI,2006,0.084
WI,2007,0.085
WI,2008,0.086
WI,2009,0.084
WI,2010,0.09
WI,2011,0.09
WI,2012,0.093
WI,2013,0.094
WI,2014,0.095
WI,2015,0.094
WI,2016,0.102
WI,2017,0.106
WI,2018,0.106
WI,2019,0.107
WY,2006,0.07400000000000001
WY,2007,0.077
WY,2008,0.079
WY,2009,0.079
WY,2010,0.084
WY,2011,0.083
WY,2012,0.078
WY,2013,0.08800000000000001
WY,2014,0.087
WY,2015,0.09
WY,2016,0.097
WY,2017,0.103
WY,2018,0.1
WY,2019,0.104
