District,Urban,Suburban,Rural,Urban %,Suburban %,Rural %,Most Prevalent
IL-15,"133,724","188,273","388,531",18.8,26.5,54.7,Rural
IL-16,"107,136","337,974","253,431",15.3,48.4,36.3,Suburban
IL-17,"220,985","256,413","212,965",32.0,37.1,30.8,Suburban
IL-18,"112,163","323,543","279,581",15.7,45.2,39.1,Suburban
Indiana,"1,533,361","3,067,214","2,013,826",23.2,46.4,30.4,Suburban
IN-01,"152,385","458,149","109,825",21.2,63.6,15.2,Suburban
IN-02,"164,083","294,723","259,284",22.8,41.0,36.1,Suburban
IN-03,"178,322","293,496","265,844",24.2,39.8,36.0,Suburban
IN-04,"124,181","336,385","285,274",16.6,45.1,38.2,Suburban
IN-05,"139,435","505,876","111,271",18.4,66.9,14.7,Suburban
IN-06,"124,888","246,812","348,110",17.4,34.3,48.4,Rural
IN-07,"368,906","356,530","27,270",49.0,47.4,3.6,Urban
IN-08,"150,595","240,562","327,988",20.9,33.5,45.6,Rural
IN-09,"130,566","334,681","278,960",17.5,45.0,37.5,Suburban
Iowa,"766,896","1,321,059","1,030,152",24.6,42.4,33.0,Suburban
IA-01,"183,771","322,341","264,335",23.9,41.8,34.3,Suburban
IA-02,"170,350","340,662","266,328",21.9,43.8,34.3,Suburban
IA-03,"245,713","396,973","169,273",30.3,48.9,20.8,Suburban
IA-04,"167,062","261,083","330,216",22.0,34.4,43.5,Rural
Kansas,"717,149","1,457,437","729,232",24.7,50.2,25.1,Suburban
KS-01,"154,342","276,909","283,003",21.6,38.8,39.6,Rural
KS-02,"186,423","264,464","262,875",26.1,37.1,36.8,Suburban
KS-03,"145,863","579,557","28,290",19.4,76.9,3.8,Suburban
KS-04,"230,521","336,506","155,064",31.9,46.6,21.5,Suburban
Kentucky,"768,993","1,814,355","1,841,030",17.4,41.0,41.6,Rural
KY-01,"84,918","193,732","441,602",11.8,26.9,61.3,Rural
KY-02,"99,334","283,424","364,475",13.3,37.9,48.8,Rural
KY-03,"265,071","465,810","13,333",35.6,62.6,1.8,Suburban
KY-04,"94,821","375,722","275,344",12.7,50.4,36.9,Suburban
